"","Study_ID","filename","PFAS","tissue","species","software","ln_PFOS_mean","ln_PFDA_mean","ln_PFUnDA_mean","ln_PFDoDA_mean","ln_PFTrDA_mean","ln_FOSA_mean","delta_15N_mean","ln_62ClPFESA_mean","ln_82ClPFESA_mean","ln_102ClPFESA_mean","ln_103FTCA_mean"
"1","S_059","Jiao_2023","PFUnDA","pancreas","species 1","Raw data extracted from Figure 4",NA,NA,3.205123411,NA,NA,NA,8,NA,NA,NA,NA
"2","S_059","Jiao_2023","PFUnDA","pancreas","species 2","Raw data extracted from Figure 4",NA,NA,1.798616305,NA,NA,NA,11.64285714,NA,NA,NA,NA
"3","S_059","Jiao_2023","PFUnDA","pancreas","species 3","Raw data extracted from Figure 4",NA,NA,2.501121915,NA,NA,NA,12.46428571,NA,NA,NA,NA
"4","S_059","Jiao_2023","PFUnDA","pancreas","species 4","Raw data extracted from Figure 4",NA,NA,4.120044877,NA,NA,NA,13.25,NA,NA,NA,NA
"5","S_059","Jiao_2023","PFUnDA","pancreas","species 5","Raw data extracted from Figure 4",NA,NA,4.720082274,NA,NA,NA,13.64285714,NA,NA,NA,NA
"6","S_059","Jiao_2023","PFUnDA","pancreas","species 6","Raw data extracted from Figure 4",NA,NA,4.296746447,NA,NA,NA,14.5,NA,NA,NA,NA
"7","S_059","Jiao_2023","PFUnDA","pancreas","species 7","Raw data extracted from Figure 4",NA,NA,2.98934181,NA,NA,NA,14.21428571,NA,NA,NA,NA
"8","S_059","Jiao_2023","PFUnDA","pancreas","species 8","Raw data extracted from Figure 4",NA,NA,3.079655946,NA,NA,NA,11.96428571,NA,NA,NA,NA
"9","S_059","Jiao_2023","PFTrDA","pancreas","species 1",NA,NA,NA,NA,NA,1.845597832,NA,5.599389283,NA,NA,NA,NA
"10","S_059","Jiao_2023","PFTrDA","pancreas","species 2",NA,NA,NA,NA,NA,4.06578795,NA,8.000394011,NA,NA,NA,NA
"11","S_059","Jiao_2023","PFTrDA","pancreas","species 3",NA,NA,NA,NA,NA,4.707714826,NA,13.02813895,NA,NA,NA,NA
"12","S_059","Jiao_2023","PFTrDA","pancreas","species 4",NA,NA,NA,NA,NA,4.706853034,NA,13.19231022,NA,NA,NA,NA
"13","S_059","Jiao_2023","PFTrDA","pancreas","species 5",NA,NA,NA,NA,NA,4.507456047,NA,13.56169556,NA,NA,NA,NA
"14","S_059","Jiao_2023","PFTrDA","pancreas","species 6",NA,NA,NA,NA,NA,4.593742912,NA,14.48515892,NA,NA,NA,NA
"15","S_059","Jiao_2023","PFTrDA","pancreas","species 7",NA,NA,NA,NA,NA,1.889764641,NA,11.65320462,NA,NA,NA,NA
"16","S_059","Jiao_2023","62ClPFESA","pancreas","species 1",NA,NA,NA,NA,NA,NA,NA,5.560551559,0.580091482,NA,NA,NA
"17","S_059","Jiao_2023","62ClPFESA","pancreas","species 2",NA,NA,NA,NA,NA,NA,NA,8.008593125,2.606380504,NA,NA,NA
"18","S_059","Jiao_2023","62ClPFESA","pancreas","species 3",NA,NA,NA,NA,NA,NA,NA,12.40507594,1.701284475,NA,NA,NA
"19","S_059","Jiao_2023","62ClPFESA","pancreas","species 4",NA,NA,NA,NA,NA,NA,NA,11.70563549,2.21938851,NA,NA,NA
"20","S_059","Jiao_2023","62ClPFESA","pancreas","species 5",NA,NA,NA,NA,NA,NA,NA,11.90547562,3.688054847,NA,NA,NA
"21","S_059","Jiao_2023","62ClPFESA","pancreas","species 6",NA,NA,NA,NA,NA,NA,NA,13.1294964,4.012266377,NA,NA,NA
"22","S_059","Jiao_2023","62ClPFESA","pancreas","species 7",NA,NA,NA,NA,NA,NA,NA,13.17945643,3.828286577,NA,NA,NA
"23","S_059","Jiao_2023","62ClPFESA","pancreas","species 8",NA,NA,NA,NA,NA,NA,NA,14.17865707,3.712770524,NA,NA,NA
"24","S_059","Jiao_2023","62ClPFESA","pancreas","species 9",NA,NA,NA,NA,NA,NA,NA,14.47841727,3.307010476,NA,NA,NA
