"","Study_ID","filename","PFAS","food_web","species","plot_type","software","PFOS_mean","delta 15N_mean","log_PFOS_mean"
"1","S_054","Koch_2021","PFOS","food web 2","species 1","Scatter plot","Webplot Digitiser",258.7859425,0.208289361,2.41294068134561
"2","S_054","Koch_2021","PFOS","food web 2","species 2","Scatter plot","Webplot Digitiser",514.3769968,0.500966177,2.71128153848109
"3","S_054","Koch_2021","PFOS","food web 2","species 3","Scatter plot","Webplot Digitiser",306.7092652,0.534659477,2.4867268955275
"4","S_054","Koch_2021","PFOS","food web 2","species 4","Scatter plot","Webplot Digitiser",38.33865815,2.136247765,1.58363690853556
"5","S_054","Koch_2021","PFOS","food web 2","species 5","Scatter plot","Webplot Digitiser",226.8370607,2.464314111,2.35571401116712
"6","S_054","Koch_2021","PFOS","food web 2","species 6","Scatter plot","Webplot Digitiser",178.913738,4.128894222,2.25264368941322
"7","S_054","Koch_2021","PFOS","food web 2","species 7","Scatter plot","Webplot Digitiser",559.1054313,4.230012674,2.74749371113215
"8","S_054","Koch_2021","PFOS","food web 2","species 8","Scatter plot","Webplot Digitiser",111.8210863,4.309080132,2.04852370695149
"9","S_054","Koch_2021","PFOS","food web 2","species 9","Scatter plot","Webplot Digitiser",348.2428115,5.180711164,2.54188216039218
"10","S_054","Koch_2021","PFOS","food web 2","species 10","Scatter plot","Webplot Digitiser",472.8434505,5.327011021,2.67471737786758
"11","S_054","Koch_2021","PFOS","food web 2","species 11","Scatter plot","Webplot Digitiser",638.9776358,6.535652157,2.80548565812926
"12","S_054","Koch_2021","PFOS","food web 2","species 12","Scatter plot","Webplot Digitiser",619.8083067,6.957743628,2.79225739237729
