"","group_id","Study_ID","filename","note","delta_15N_mean","PFCs_mean","log_PFCs_mean"
"1","estimate 1","S_064","Yordy_2013","Raw data extracted from Table 1.","6.06","208","2.31806333496276"
"2","estimate 10","S_064","Yordy_2013","Raw data extracted from Table 1.","7.44","42.4","1.62736585659273"
"3","estimate 11","S_064","Yordy_2013","Raw data extracted from Table 1.","5.61","214","2.33041377334919"
"4","estimate 12","S_064","Yordy_2013","Raw data extracted from Table 1.","8.27","143","2.15533603746506"
"5","estimate 13","S_064","Yordy_2013","Raw data extracted from Table 1.","6.29","56.6","1.75281643118827"
"6","estimate 14","S_064","Yordy_2013","Raw data extracted from Table 1.","6.69","58.5","1.76715586608218"
"7","estimate 15","S_064","Yordy_2013","Raw data extracted from Table 1.","10.2","190","2.27875360095283"
"8","estimate 16","S_064","Yordy_2013","Raw data extracted from Table 1.","13.7","223","2.34830486304816"
"9","estimate 2","S_064","Yordy_2013","Raw data extracted from Table 1.","8.86","42.6","1.62940959910272"
"10","estimate 3","S_064","Yordy_2013","Raw data extracted from Table 1.","5.83","25.9","1.41329976408125"
"11","estimate 4","S_064","Yordy_2013","Raw data extracted from Table 1.","6.3","74.4","1.87157293554588"
"12","estimate 5","S_064","Yordy_2013","Raw data extracted from Table 1.","7.31","184","2.26481782300954"
"13","estimate 6","S_064","Yordy_2013","Raw data extracted from Table 1.","9.63","638","2.80482067872116"
"14","estimate 7","S_064","Yordy_2013","Raw data extracted from Table 1.","12.1","218","2.3384564936046"
"15","estimate 8","S_064","Yordy_2013","Raw data extracted from Table 1.","8.37","99","1.99563519459755"
"16","estimate 9","S_064","Yordy_2013","Raw data extracted from Table 1.","5.2","88.3","1.94596070357757"
